surveyID,email,musicID,genreID,userRating
150,mfossitt45@archive.org,150,12,2
151,cwapplington46@buzzfeed.com,151,12,4
152,wabels47@mlb.com,152,12,5
153,hsouthern48@omniture.com,153,12,2
154,mmeyrick49@ihg.com,154,12,1
155,jmarsie4a@microsoft.com,155,12,1
156,dlatch4b@google.ca,156,12,2
157,scoare4c@google.fr,157,12,5
158,askala4d@free.fr,158,12,3
159,fgolder4e@pen.io,159,12,3
160,rpeevor4f@amazon.com,160,12,5
161,rlangeley4g@hhs.gov,161,12,2
162,lsalle4h@histats.com,162,12,1
163,rmore4i@umn.edu,163,12,2
164,awearden4j@answers.com,164,12,5
165,mbaistow4k@google.nl,165,12,3
166,ecroston4l@spotify.com,166,12,4
167,pwallworke4m@blogs.com,167,12,5
168,ubelison4n@java.com,168,12,3
169,scordel4o@dedecms.com,169,12,3
170,ghoward4p@tiny.cc,170,12,3
171,mjulyan4q@privacy.gov.au,171,12,1
172,nkehri4r@bizjournals.com,172,12,4
173,tbenez4s@wordpress.com,173,12,2
174,fdawney4t@engadget.com,174,12,1
175,hfardon4u@telegraph.co.uk,175,12,2
176,wdevile4v@zdnet.com,176,12,5
177,cnapolitano4w@cdbaby.com,177,12,4
178,glarby4x@blinklist.com,178,12,3
179,lege4y@nifty.com,179,12,5
180,ahillett4z@istockphoto.com,180,12,1
181,dmontez50@ihg.com,181,12,3
182,eriatt51@globo.com,182,12,4
183,kcapewell52@youtu.be,183,12,3
184,dcrutchley53@wikispaces.com,184,12,1
185,agarman54@nbcnews.com,185,12,1
186,ddainter55@wordpress.org,186,12,1
187,gkalf56@sfgate.com,187,12,1
188,fshambroke57@cdc.gov,188,12,1
189,avarley58@prlog.org,189,12,4
190,habramson59@booking.com,190,12,5
191,sdewinton5a@telegraph.co.uk,191,12,5
192,ehassen5b@gizmodo.com,192,12,4
193,dwickrath5c@quantcast.com,193,12,1
194,nsporrij5d@ezinearticles.com,194,12,1
195,eferie5e@php.net,195,12,4
196,tslimming5f@youtube.com,196,12,5
197,mwyre5g@360.cn,197,12,5
198,aboulter5h@amazon.co.uk,198,12,4
199,bsloy5i@gnu.org,199,12,2
200,cketley5j@hc360.com,200,12,1
201,stiner5k@gravatar.com,201,12,1
202,mailmer5l@ca.gov,202,12,5
203,sglassard5m@infoseek.co.jp,203,12,2
204,griddell5n@state.gov,204,12,1
205,lswainson5o@nyu.edu,205,12,2
206,dbaudic5p@surveymonkey.com,206,12,3
207,ljerger5q@google.co.jp,207,12,4
208,rcaird5r@exblog.jp,208,12,3
209,ldunks5s@themeforest.net,209,12,1
210,fashbee5t@elegantthemes.com,210,12,3
211,hsuggitt5u@histats.com,211,12,3
212,cfirby5v@wisc.edu,212,12,5
213,cgounel5w@cbsnews.com,213,12,2
214,dbraisby5x@com.com,214,12,2
215,sgianni5y@biblegateway.com,215,12,2
216,tcock5z@twitter.com,216,12,3
217,jgerbi60@tinyurl.com,217,12,3
218,mraffeorty61@exblog.jp,218,12,1
219,mcull62@drupal.org,219,12,3
220,dparnby63@archive.org,220,12,2
221,glennard64@blogtalkradio.com,221,12,4
222,dfrays65@state.gov,222,12,3
223,scleaton66@imdb.com,223,12,4
224,bheersema67@loc.gov,224,12,3
225,hberceros68@latimes.com,225,12,3
226,glofty69@pen.io,226,12,5
227,mclaus6a@si.edu,227,12,1
228,truvel6b@friendfeed.com,228,12,5
229,cmaxwell6c@time.com,229,12,5
230,asollner6d@mac.com,230,12,3
231,shandrek6e@homestead.com,231,12,3
232,ddenver6f@mail.ru,232,12,2
233,aoen6g@microsoft.com,233,12,5
234,ggadsby6h@altervista.org,234,12,5
235,lrumble6i@wp.com,235,12,2
236,lmattingley6j@columbia.edu,236,13,1
237,smagor6k@admin.ch,237,13,3
238,amactavish6l@goo.ne.jp,238,13,3
239,fdavers6m@theatlantic.com,239,13,4
240,aropars6n@wiley.com,240,13,4
241,nbrimicombe6o@nba.com,241,13,4
242,cbrockman6p@earthlink.net,242,13,5
243,mwaddingham6q@smh.com.au,243,13,4
244,sfaichney6r@sakura.ne.jp,244,13,4
245,vcroughan6s@diigo.com,245,13,2
246,agokes6t@dagondesign.com,246,13,5
247,kchestnut6u@theguardian.com,247,13,4
248,hbrimson6v@i2i.jp,248,13,4
249,dsurr6w@whitehouse.gov,249,13,4
250,dcosty6x@a8.net,250,13,2
251,ccalender6y@pinterest.com,251,13,1
252,sgautrey6z@wunderground.com,252,13,5
253,rdobell70@weibo.com,253,13,3
254,llathom71@sourceforge.net,254,13,1
255,jlourenco72@smh.com.au,255,13,3
256,eclouston73@istockphoto.com,256,17,2
257,taddie74@imageshack.us,257,17,3
258,gcurrington75@google.cn,258,17,4
259,jstinson76@bloomberg.com,259,17,5
260,jburrus77@webeden.co.uk,260,17,3
261,kbradbeer78@webmd.com,261,17,5
262,scoster79@pbs.org,262,17,1
263,nblumire7a@prweb.com,263,17,1
264,fbyrd7b@yellowbook.com,264,17,2
265,bpooly7c@uiuc.edu,265,17,2
266,plongdon7d@opera.com,266,17,5
267,bkoenraad7e@privacy.gov.au,267,17,2
268,rmaffione7f@unesco.org,268,17,2
269,cbulcock7g@go.com,269,17,2
270,aledford7h@latimes.com,270,17,5
271,ematticci7i@com.com,271,17,3
272,npennycord7j@nih.gov,272,17,5
273,jcollington7k@wp.com,273,17,4
274,gnaisbet7l@taobao.com,274,17,3
275,mkarpychev7m@slate.com,275,17,5
276,cbertlin7n@xinhuanet.com,276,17,5
277,vkirkham7o@hao123.com,277,17,5
278,mcollumbell7p@china.com.cn,278,17,4
279,fdmisek7q@google.com.au,279,17,4
280,wstlouis7r@so-net.ne.jp,280,17,3
281,mhyndman7s@bigcartel.com,281,17,2
282,eannandale7t@unicef.org,282,17,1
283,mlewer7u@dion.ne.jp,283,17,3
284,aoxborrow7v@icio.us,284,17,3
285,ysans7w@oakley.com,285,17,3
286,brack7x@squarespace.com,286,17,1
287,pokker7y@blogs.com,287,17,3
288,ksturr7z@posterous.com,288,27,4
289,akillner80@myspace.com,289,27,2
290,mwrankmore81@usnews.com,290,27,4
291,lclarey82@bluehost.com,291,27,1
292,fnoble83@unesco.org,292,27,1
293,vcappineer84@vimeo.com,293,27,1
294,cadanez85@livejournal.com,294,27,2
295,gdennitts86@hp.com,295,27,4
296,tscottesmoor87@census.gov,296,27,3
297,dlytlle88@elegantthemes.com,297,27,2
298,dhercock89@mediafire.com,298,27,2
299,cswenson8a@oaic.gov.au,299,27,3
300,kmacwilliam8b@tinyurl.com,300,27,5
